,gene,importance
261,uxaB_bacsu,0.0
262,uxuA_bacsu,0.003
263,yaaC_bacsu,0.0
264,yaaT_bacsu,0.005
265,yabG_bacsu,0.001
266,yabP_bacsu,0.22399999999999998
267,yabQ_bacsu,0.0
268,yabR_bacsu,0.0
269,yabS_bacsu,0.0
270,yabT_bacsu,0.0
271,ybaK_bacsu,0.0
272,ybbC_bacsu,0.0
273,ybeF_bacsu,0.0
274,ybfJ_bacsu,0.0
275,ybxH_bacsu,0.0
276,ycgF_bacsu,0.0
277,ycgG_bacsu,0.0
278,ycgH_bacsu,0.08600000000000001
279,ycgI_bacsu,0.0
280,ycgL_bacsu,0.0
281,yckC_bacsu,0.0
282,yckD_bacsu,0.0
283,yclG_bacsu,0.0
284,ydcA_bacsu,0.0
285,ydcC_bacsu,0.0
286,ydfR_bacsu,0.0
287,ydfS_bacsu,0.017
288,ydgA_bacsu,0.0
289,ydgB_bacsu,0.0
290,ydhD_bacsu,0.014000000000000002
291,ydhF_bacsu,0.0
292,ydjP_bacsu,0.017
293,ydzH_bacsu,0.0
294,yeaA_bacsu,0.0
295,yeeK_bacsu,0.0
296,yesJ_bacsu,0.0
297,yesK_bacsu,0.0
298,yetF_bacsu,0.0
299,yezF_bacsu,0.0
300,yfhD_bacsu,0.0
301,yfhE_bacsu,0.0
302,yfhS_bacsu,0.0
303,yfkD_bacsu,0.0
304,yfkQ_bacsu,0.003
305,yfkR_bacsu,0.0
306,yfkS_bacsu,0.0
307,yfkT_bacsu,0.0
308,yflJ_bacsu,0.0
309,yflN_bacsu,0.0
310,yfnD_bacsu,0.0
311,yfnE_bacsu,0.0
312,yfnF_bacsu,0.0
313,yfnG_bacsu,0.0
314,yfnH_bacsu,0.0
315,ygaK_bacsu,0.0
316,ygzA_bacsu,0.0
317,yhaL_bacsu,0.0
318,yhaX_bacsu,0.0
319,yhbB_bacsu,0.008
320,yhbH_bacsu,0.0
321,yhcM_bacsu,0.0
322,yhcN_bacsu,0.0
323,yhcO_bacsu,0.0
324,yhcQ_bacsu,0.0
325,yhcT_bacsu,0.0
326,yhcV_bacsu,0.0
327,yhdB_bacsu,0.0
328,yhdC_bacsu,0.0
329,yheC_bacsu,0.0
330,yheD_bacsu,0.0
331,yhfA_bacsu,0.0
332,yhfM_bacsu,0.0
333,yhfN_bacsu,0.0
334,yhfW_bacsu,0.02
335,yhjQ_bacsu,0.0
336,yhjR_bacsu,0.0
337,yhxC_bacsu,0.0
338,yhzF_bacsu,0.0
339,yisI_bacsu,0.0
340,yisJ_bacsu,0.0
341,yisN_bacsu,0.0
342,yisP_bacsu,0.0
343,yisY_bacsu,0.0
344,yisZ_bacsu,0.0
345,yitA_bacsu,0.001
346,yitD_bacsu,0.0
347,yitE_bacsu,0.0
348,yitF_bacsu,0.0
349,yitG_bacsu,0.0
350,yitQ_bacsu,0.0
351,yizC_bacsu,0.0
352,yizD_bacsu,0.0
353,yjaU_bacsu,0.0
354,yjaV_bacsu,0.0
355,yjaZ_bacsu,0.0
356,yjbA_bacsu,0.0
357,yjbE_bacsu,0.0
358,yjcA_bacsu,0.0
359,yjcZ_bacsu,0.0
360,yjdH_bacsu,0.0
361,yjfA_bacsu,0.0
362,yjmC_bacsu,0.0
363,yjmD_bacsu,0.001
364,yjnA_bacsu,0.0
365,yjqC_bacsu,0.0
366,yjzB_bacsu,0.0
367,yjzC_bacsu,0.0
368,yjzK_bacsu,0.0
369,ykjA_bacsu,0.0
370,ykoN_bacsu,0.0
371,ykoP_bacsu,0.0
372,ykoQ_bacsu,0.0
373,ykoS_bacsu,0.0
374,ykoT_bacsu,0.0
375,ykoY_bacsu,0.0
376,ykpC_bacsu,0.0
377,ykuS_bacsu,0.0
378,ykvI_bacsu,0.0
379,ykvP_bacsu,0.0
380,ykvQ_bacsu,0.0
381,ykvU_bacsu,0.0
382,ykwB_bacsu,0.0
383,ykzD_bacsu,0.0
384,ykzE_bacsu,0.0
385,ykzH_bacsu,0.0
386,ykzP_bacsu,0.0
387,ykzV_bacsu,0.0
388,ylaJ_bacsu,0.0
389,ylaK_bacsu,0.0
390,ylbB_bacsu,0.0
391,ylbC_bacsu,0.002
392,ylbD_bacsu,0.0
393,ylbE_bacsu,0.0
394,ylbF_bacsu,0.0
395,ylmC_bacsu,0.22299999999999998
396,yloB_bacsu,0.0
397,ylxW_bacsu,0.0
398,ylxX_bacsu,0.0
399,ylyA_bacsu,0.0
400,ylzJ_bacsu,0.0
401,ymaF_bacsu,0.0
402,ymcA_bacsu,0.0
403,ymfD_bacsu,0.012
404,ymfJ_bacsu,0.001
405,ymxH_bacsu,0.0
406,yncE_bacsu,0.0
407,yndA_bacsu,0.0
408,yndD_bacsu,0.0
409,yndE_bacsu,0.005
410,yndF_bacsu,0.0
411,yndM_bacsu,0.0
412,ynfE_bacsu,0.0
413,yngE_bacsu,0.0
414,yngF_bacsu,0.0
415,yngG_bacsu,0.0
416,yngHB_bacsu,0.002
417,yngI_bacsu,0.0
418,yngJ_bacsu,0.0
419,yngK_bacsu,0.026000000000000002
420,yngL_bacsu,0.0
421,ynzB_bacsu,0.0
422,ynzD_bacsu,0.0
423,ynzE_bacsu,0.0
424,ynzL_bacsu,0.0
425,yoaI_bacsu,0.0
426,yoaM_bacsu,0.0
427,yoaQ_bacsu,0.0
428,yoaR_bacsu,0.020000000000000004
429,yoaU_bacsu,0.0
430,yoaW_bacsu,0.0
431,yobN_bacsu,0.0
432,yocL_bacsu,0.0
433,yocN_bacsu,0.0
434,yodH_bacsu,0.0
435,yodI_bacsu,0.0
436,yodL_bacsu,0.0
437,yodN_bacsu,0.0
438,yodP_bacsu,0.0
439,yodQ_bacsu,0.0
440,yodR_bacsu,0.0
441,yodS_bacsu,0.0
442,yodT_bacsu,0.027000000000000003
443,yojB_bacsu,0.0
444,yokU_bacsu,0.0
445,yoyB_bacsu,0.0
446,yoyE_bacsu,0.0
447,yoyF_bacsu,0.0
448,yozD_bacsu,0.0
449,yozE_bacsu,0.011000000000000003
450,yozF_bacsu,0.0
451,yozN_bacsu,0.0
452,yozQ_bacsu,0.0
453,ypeB_bacsu,0.064
454,ypeP_bacsu,0.0
455,ypeQ_bacsu,0.0
456,ypfB_bacsu,0.0
457,yphA_bacsu,0.0
458,ypjB_bacsu,0.0
459,yppC_bacsu,0.0
460,yppD_bacsu,0.0
461,yppG_bacsu,0.0
462,ypqA_bacsu,0.0
463,yptA_bacsu,0.0
464,ypzA_bacsu,0.0
465,ypzD_bacsu,0.0
466,ypzF_bacsu,0.0
467,ypzG_bacsu,0.0
468,ypzH_bacsu,0.0
469,ypzI_bacsu,0.0
470,yqaN_bacsu,0.0
471,yqaO_bacsu,0.0
472,yqcI_bacsu,0.0
473,yqcK_bacsu,0.0
474,yqeC_bacsu,0.004
475,yqfC_bacsu,0.057
476,yqfD_bacsu,0.214
477,yqfQ_bacsu,0.0
478,yqfT_bacsu,0.0
479,yqfX_bacsu,0.0
480,yqfZ_bacsu,0.0
481,yqgE_bacsu,0.0
482,yqgO_bacsu,0.0
483,yqhG_bacsu,0.0
484,yqhH_bacsu,0.0
485,yqhO_bacsu,0.001
486,yqhP_bacsu,0.0
487,yqhQ_bacsu,0.094
488,yqhR_bacsu,0.0
489,yqhV_bacsu,0.0
490,yqjB_bacsu,0.0
491,yqjC_bacsu,0.019
492,yqxA_bacsu,0.0
493,yqzG_bacsu,0.0
494,yqzO_bacsu,0.0
495,yraD_bacsu,0.0
496,yraE_bacsu,0.0
497,yraF_bacsu,0.0
498,yraG_bacsu,0.0
499,yrbD_bacsu,0.011
500,yrbG_bacsu,0.04499999999999999
501,yrkC_bacsu,0.007
502,yrrD_bacsu,0.0
503,yrrI_bacsu,0.0
504,yrrS_bacsu,0.0
505,yrzA_bacsu,0.0
506,yrzE_bacsu,0.0
507,yrzK_bacsu,0.0
508,yrzQ_bacsu,0.0
509,yrzR_bacsu,0.0
510,ysnD_bacsu,0.0
511,ysxE_bacsu,0.0
512,ytaF_bacsu,0.03
513,ytcA_bacsu,0.0
514,ytcB_bacsu,0.0
515,ytcC_bacsu,0.002
516,ytdA_bacsu,0.0
517,yteA_bacsu,0.003
518,yteT_bacsu,0.009000000000000001
519,ytfI_bacsu,0.0
520,ythA_bacsu,0.016
521,ythB_bacsu,0.0
522,ytkC_bacsu,0.0
523,ytlA_bacsu,0.071
524,ytlC_bacsu,0.0
525,ytlD_bacsu,0.0
526,ytrA_bacsu,0.065
527,ytrH_bacsu,0.001
528,ytrI_bacsu,0.0
529,ytvB_bacsu,0.0
530,ytvI_bacsu,0.09299999999999999
531,ytwI_bacsu,0.0
532,ytxC_bacsu,0.003
533,ytxO_bacsu,0.0
534,ytzC_bacsu,0.0
535,ytzH_bacsu,0.0
536,ytzL_bacsu,0.0
537,yueG_bacsu,0.0
538,yufS_bacsu,0.0
539,yugF_bacsu,0.0
540,yugO_bacsu,0.0
541,yugP_bacsu,0.035
542,yugS_bacsu,0.0
543,yugT_bacsu,0.004
544,yuiC_bacsu,0.012
545,yumB_bacsu,0.001
546,yunC_bacsu,0.0
547,yurS_bacsu,0.0
548,yurZ_bacsu,0.0
549,yusN_bacsu,0.0
550,yusW_bacsu,0.0
551,yutC_bacsu,0.0
552,yutG_bacsu,0.0
553,yutH_bacsu,0.0
554,yuzA_bacsu,0.18400000000000005
555,yuzC_bacsu,0.0
556,yuzE_bacsu,0.0
557,yuzF_bacsu,0.0
558,yuzI_bacsu,0.0
559,yuzL_bacsu,0.0
560,yuzM_bacsu,0.0
561,yvaC_bacsu,0.0
562,yvaM_bacsu,0.0
563,yvdQ_bacsu,0.0
564,yveA_bacsu,0.007
565,yvnB_bacsu,0.0
566,ywaF_bacsu,0.0
567,ywbA_bacsu,0.0
568,ywbB_bacsu,0.0
569,ywcA_bacsu,0.003
570,ywcB_bacsu,0.0
571,ywcE_bacsu,0.0
572,ywkF_bacsu,0.0
573,ywmA_bacsu,0.0
574,ywnG_bacsu,0.0
575,ywnJ_bacsu,0.0
576,ywoC_bacsu,0.0
577,ywoD_bacsu,0.027000000000000003
578,ywqH_bacsu,0.0
579,ywqI_bacsu,0.0
580,ywqJ_bacsu,0.0
581,ywqK_bacsu,0.0
582,ywrA_bacsu,0.0
583,ywrJ_bacsu,0.0
584,ywrK_bacsu,0.0
585,yxeD_bacsu,0.0
586,yxeE_bacsu,0.0
587,yxjF_bacsu,0.027000000000000003
588,yyaC_bacsu,0.049
589,yyaD_bacsu,0.0
590,yyaL_bacsu,0.001
591,yybI_bacsu,0.0
592,yybP_bacsu,0.0
593,yycE_bacsu,0.0
594,yycN_bacsu,0.0
595,yycO_bacsu,0.0
596,yycP_bacsu,0.0
597,yycQ_bacsu,0.0
598,yyzB_bacsu,0.0
